n,R,Bsim,feasible_coverage_95,coverage_mcse,oracle_limit_coverage_95,oracle_coverage_mcse,median_crit_radius_scaled,population_crit_radius_scaled,median_full_width_alpha,median_full_width_x,boundary_hit_count,boundary_hit_rate,q99_max_abs_x,max_abs_x,empirical_T_q95
2000,1000,1500,0.91,0.009049861877399012,0.974,0.005032295698784007,13.32773543602804,21.350625538216956,0.5960344484218298,3.985922588140681,0,0.0,0.6572949044926237,1.1137166754315058,17.25288711598644
5000,1000,1500,0.917,0.008724161850859943,0.952,0.006759881655768837,16.886544765824,21.350625538216956,0.4776236125889739,4.016319836665971,0,0.0,0.5273271899059918,0.7965084234226947,21.000886539062368
10000,1000,1500,0.914,0.008865889690267975,0.948,0.007021111023192843,18.28204123344017,21.350625538216956,0.36564082466880343,3.6564082466880343,0,0.0,0.4437498955796565,0.9834773955405814,21.665366550937467
