n,MAD_x1,MAD_x2,MAD_scaled_x1,MAD_scaled_x2,P_empty_leading,P_A1_leading,P_A2_leading,P_both_leading,BSA1_projected,BSA2_projected,BSA_joint_both_projected,max_active_orthogonality_error,max_projection_identity_error,BSA1_low,BSA1_mid,BSA1_high,BSA2_low,BSA2_mid,BSA2_high,mean_q22_Y2sq,median_q22_Y2sq
2000,0.23113312014860118,0.11868151366722118,1.5456803325832755,0.7936711164488088,0.14,0.196,0.253,0.411,0.9192751235584844,0.7259036144578314,0.635036496350365,1.4210854715202004e-14,2.4158453015843406e-13,0.812807881773399,0.9455445544554455,1.0,0.6081081081081081,0.751131221719457,0.8190045248868778,5.891293394907995,3.848155295991088
5000,0.20843324147669767,0.11022605224506395,1.752707655774669,0.9268869220044292,0.151,0.18,0.272,0.397,0.9220103986135182,0.7488789237668162,0.6675062972292192,1.4432899320127035e-14,1.127986593019159e-13,0.7823834196891192,0.9895833333333334,0.9947916666666666,0.5829596412556054,0.7847533632286996,0.8789237668161435,5.845386877478841,4.310455555124159
10000,0.18729177177511488,0.09634624627944559,1.872917717751149,0.9634624627944559,0.151,0.164,0.28,0.405,0.9402460456942003,0.7897810218978102,0.7037037037037037,1.2416378191004974e-14,1.2612133559741778e-13,0.8315789473684211,0.9894179894179894,1.0,0.6681222707423581,0.8070175438596491,0.8947368421052632,6.464603841498869,4.627600037926537
