n,R,MAD_prelim_x1,MAD_prelim_x2,MAD_feasible_x1,MAD_feasible_x2,MAD_scaled_feasible_x1,MAD_scaled_feasible_x2,MAD_scaled_oracle_x1,MAD_scaled_oracle_x2,median_abs_feasible_minus_oracle_x1,median_abs_feasible_minus_oracle_x2,energy_feasible_vs_oracle_scaled,same_sign_feasible_oracle_x1,same_sign_feasible_oracle_x2,BSA1_feasible,BSA2_feasible,BSA_joint_feasible,BSA1_oracle,BSA2_oracle,median_Omega_min_eig,median_Omega_cond,p99_Omega_cond
2000,300,0.2617119097713059,0.1329233380578019,0.2489890212161373,0.1284393683717502,1.6650899398386048,0.8589258237590327,1.5872119029912013,0.7840602474048781,0.0989208128852433,0.0958091756251122,0.00477155098568,0.9833333333333332,0.95,0.890625,0.7142857142857143,0.5797101449275363,0.8958333333333334,0.7238095238095238,0.0302789673224429,286.2348536166447,2822.496616158029
5000,300,0.236665293158976,0.1251274688190819,0.2159598281693727,0.1131183658324156,1.8159984534643367,0.9512082832783656,1.7627056952492142,0.9466262436353744,0.0792450569561292,0.068150273664827,0.0027754364669241,0.9866666666666668,0.9533333333333334,0.922279792746114,0.7572815533980582,0.6742424242424242,0.922279792746114,0.7621359223300971,0.0316395375653655,293.3194961146512,2737.5904831475605
10000,300,0.2193144569493099,0.1019334680505992,0.1943554575986492,0.0902823155972713,1.9435545759864925,0.9028231559727138,1.8982484011538907,0.92742128864841,0.0630995916856341,0.0587789251979076,0.0019958228520269,0.9733333333333334,0.9666666666666668,0.9347826086956522,0.7836538461538461,0.6716417910447762,0.9402173913043478,0.8028846153846154,0.031036707651749,302.11698047490927,2746.8109884561795
