n,MAD_x1,MAD_x2,MAD_scaled_x1,MAD_scaled_x2,P_empty_leading,P_A1_leading,P_A2_leading,P_both_leading,BSA1_projected,BSA2_projected,BSA_joint_both_projected,max_active_orthogonality_error,max_projection_identity_error,BSA1_low,BSA1_mid,BSA1_high,BSA2_low,BSA2_mid,BSA2_high,mean_q22_Y2sq,median_q22_Y2sq
20000,0.16671929982075168,0.08005281924969117,1.9826377755510978,0.9519938222775952,0.12333333333333334,0.21666666666666667,0.26666666666666666,0.3933333333333333,0.9617486338797814,0.7828282828282829,0.6864406779661016,1.0658141036401503e-14,2.353672812205332e-13,0.9016393442622951,0.9836065573770492,1.0,0.6666666666666666,0.7727272727272727,0.9090909090909091,7.810287127011554,5.077692122339217
50000,0.13368725882059665,0.06126815175618383,1.9990907954218506,0.9161725605628628,0.13,0.19333333333333333,0.26666666666666666,0.41,0.9226519337016574,0.8620689655172413,0.7804878048780488,1.0658141036401503e-14,1.1368683772161603e-13,0.7704918032786885,1.0,1.0,0.7647058823529411,0.835820895522388,0.9852941176470589,7.23570915198839,5.480385110086379
100000,0.11097018188206659,0.05397119254189896,1.9733598956915333,0.9597586043250519,0.12333333333333334,0.19666666666666666,0.26,0.42,0.972972972972973,0.8235294117647058,0.7857142857142857,1.2434497875801753e-14,1.1368683772161603e-13,0.9193548387096774,1.0,1.0,0.6176470588235294,0.8823529411764706,0.9705882352941176,7.062048529722785,5.620124980326695
